a,b
"271","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/VcWpUZVW2r #Governor #Actor"
"272","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"273","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"274","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"275","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 21""x14"" #Poster http://t.co/4vbneU96m8 #Governor #Actor"
"276","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"277","#youtube Terminator: Genisys Official International Trailer #1 (2015) - Arnold Schwarzenegger Movie HD http://t.co/QJFtRpExC4"
"278","#youtube Terminator Genisys Movie - Official Trailer 2 http://t.co/rP9vQY72ke"
"279","#youtube Terminator Genisys Movie - Official Trailer http://t.co/ORxAXeGaLS"
"280","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 21""x14"" #Poster http://t.co/stpERDk0SE #Governor #Actor"
"281","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"282","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/glMDvom8uG #Governor #Actor"
"283","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD http://t.co/SfnErdst20"
"284","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"285","@robertpatrickT2 I'm watching @Terminator 2 on bluray. Top notch performance in arguably the best action movie made ever."
"286","Terminator  Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD by @ccwx2003 - http://t.co/eeeAKVzX3c http://t.co/EndBkEmrzC"
"287","@scentxd (( miracle on cell number 7, iris the movie, no tears for the dead, love forecast, terminator - lord of the ring - narnia semua/?"
"288","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"289","ART PRINT #Terminator Movie #Poster #ArnoldSchwarzenegger http://t.co/NOfvpQ3a1e #Governor #Actor"
"290","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/e4SYSNe2Ka"
"291","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"292","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"293","RT @Renner5156: Terminator 2: Judgment Day (1991) Full Movie
https://t.co/CP7QI5hwSu"
"294","RT @Huang9111: Terminator 2: Judgment Day (1991) Full Movie
https://t.co/HFaSQtqWX8"
"295","RT @aldee5156: Terminator 2: Judgment Day (1991) Full Movie
https://t.co/sNj70cvDNA"
"296","Terminator 2: Judgment Day (1991) Full Movie
https://t.co/sNj70cvDNA"
"297","Terminator 2: Judgment Day (1991) Full Movie
https://t.co/HFaSQtqWX8"
"298","Terminator 2: Judgment Day (1991) Full Movie
https://t.co/CP7QI5hwSu"
"299","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"300","RT codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"301","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"302","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"303","My being a movie fan began with Terminator 2."
"304","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"305","So over the next few weeks, I'm just having movie marathons. Gotta get Terminator 3 on Blu though..."
"306","New movie poster: Terminator: Genesys Movie Poster http://t.co/BSBmD76RY4"
"307","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"308","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"309","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"310","RT codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"311","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"312","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"313","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"314","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"315","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"316","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"317","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"318","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"319","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"320","RT codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"321","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"322","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"323","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"324","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"325","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"326","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"327","RT @codinghorror: Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"328","Mad Max Fury Road is probably the best geek movie sequel I've seen since Terminator 2. Arguably better than the original."
"329","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"330","I'm secretly hoping the new Terminator movie is a 2 hour musical montage featuring The Glee cast, Beck and 247 angry little people."
"331","@Terminator stop assuming people are so stupid that they need to be spoon fed the plot before watching the movie so they'll buy a ticket"
"332","#FACTS For the blockbuster movie ""The Terminator,"" O.J. Simpson was considered to play the role of the Terminator"
"333","@Terminator But that's what we call a ""plot twist"", ie, something you learn while watching the movie, not before!"
"334","That's the broad from that movie Terminator. I've only seen the 1st movie &amp; didn't care for it. tbh
#ghwp"
"335","RT @Asher_Wolf: The new Sarah Connor in the upcoming 2015 Terminator movie looks an awful lot like @quinnnorton"
"336","@Terminator movie sacramento california"
"337","Arnold Schwarzenegger is coming back in Temernitor Genisys. This movie will Realease on 07.July

cr: Terminator... http://t.co/Boj9vlRMX1"
"338","Chappie was like if Arnold Schwarzenegger wasn't advertised for the terminator movie"
"339","so excited for the new terminator movie aahh"
"340","Terminator Genisys Movie - Official Trailer 2 https://t.co/ZZioxNLfzt via @YouTube"
"341","i cant wait to see @Terminator i just hope its better than Terminator Salvation cuz that movie was a complete let down, although"
"342","@naxuu @sparkletone i havent seen loads of stuff im supposed to have. i havent seen a terminator movie all the way through."
"343","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"344","DARPA (skynet from Terminator movie) is controlled by Dictator b Hussein obama (whats his real name?) https://t.co/YyQJQ405NN"
"345","DARPA (skynet from Terminator movie) is controlled by Dictator b Hussein obama (whats his real name?) https://t.co/eUSaGxSLFR"
"346","Just saw @MadMaxMovie and it was the best action movie I've seen since my dad let me watch Terminator 2 when I was 7
#WITNESSHIM"
"347","It's the 3rd best terminator movie. https://t.co/7cA9mGih0z"
"348","Terminator Genisys Movie - Official Trailer 2 https://t.co/2A5CajRu8j via @YouTube"
"349","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"350","Also, this was the first time I saw a trailer for Terminator: Genesys and wow, does that movie look like a clusterfuck."
"351","The new Sarah Connor in the upcoming 2015 Terminator movie looks an awful lot like @quinnnorton"
"352","Terminator 3 is prob my fav movie of all time"
"353","I'll see any Terminator movie. I can't help it. I know it's horrible. But I love me some #sarahconnor"
"354","....like one of those creepy ass futuristic homicidal ones from that terminator movie my dad made me watch with him and hamza"
"355","A new terminator movie coming out this summer. Oh my."
"356","@_TheTerminator_ damn it terminator! get out my mentions! Im getting tired of you. I stopped watching after your second movie."
"357","""Glioblastoma multiforma - referred to as the Terminator"" - Surviving Terminal Cancer, the movie."
"358","Fury Road review: I can never watch a Marvel movie again. This is the first real movie anybody's made since Terminator 2. Fuck you."
"359","@TClatch terminator 2 is my favorite action movie of all time, I love mad max equally it's like 1a 1b for best ever"
"360","terminator 2 is a guns-n-driving movie about how weapons are bad"
"361","MAD MAX IS EVERYTHING I'VE NEEDED FROM AN ACTION MOVIE SINCE LIKE TERMINATOR 2. A FUCKING MAJESTIC TOUR-DE-FORCE OF FIRE AND BLOOD. 9/10"
"362","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"363","Terminator is such a great movie"
"364","@LorrieGuerrieri and I'm watching a Terminator movie. I feel so counter culture now."
"365","@joshfahey there is a Terminator 2: Judgment Day reference in that movie, so, yes."
"366","fury road is the female-led action movie we've been waiting for since terminator 2, though, so points there"
"367","Every Terminator movie has the same plot -_-"
"368","""Line about Terminator being favorite romantic movie had me laughing out loud"" #bynr #asmsg http://t.co/Z4okFZBNKq http://t.co/OMVvZedByR"
"369","5 New Terminator Genisys Character Posters #movie @movienews #movies http://t.co/JYCrqqH16Z"
"370","@CheckMyEsque Best action movie since Terminator 2."
"371","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/4M0NHHGqcl"
"372","The female Terminator grew her boobs because she saw a Victoria's Secret billboard and yep, this is a 2003 movie"
"373","Check out the awesome new #movie theatre poster for #TerminatorGenisys . That's how to do it! Well done! http://t.co/5JMHKBPEFF #Terminator"
"374","@ImSugarSlam best action movie since terminator 2. It really is top 5 action Movies of all time"
"375","""@floydriguez: Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD http://t.co/t0Vqwok9qF"" I can't wait!!!!"
"376","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD http://t.co/aSpvO6wj7x"
"377","BEST #movie #poster ever. 
#terminator https://t.co/zbdFRUzpt0"
"378","Movie trailer fails: Terminator Genysis, turns out John Conner is the villain. #TerminatorGenisys #movietrailerfails"
"379","@Diamandahagan Terminator/Terminator II.Little Shop of Horrors, Genesis of the Daleks.(last one isn't a movie, but it IS genesis o/t Daleks)"
"380","Arnold, the terminator, the X Governor of California has reach a new high and played in a zombie movie, ""Maggie"" what a crack-up!"
"381","Terminator Genisys Movie Poster - HE'S BACK - New Terminator Movie Poster http://t.co/RZiibT3Kg6 http://t.co/9gcvCBBCZE"
"382","Terminator Genisys Movie Poster - HE'S BACK - New Terminator Movie Poster http://t.co/omVLbUVzat http://t.co/2PC6kIIVWJ"
"383","RT @cjno: The makeup in the original terminator movie is fucking awesome. Screw your 3d cgi bullshit."
"384","Commando is my favourite Schwarzenegger movie - John Matrix is much more of a killing machine than The Terminator http://t.co/psl2XZgA71"
"385","RT @lisamlilly: International trailers for the new #Terminator movie - @ogy86 have you seen? http://t.co/mcLSy4UB2h #cyborgs"
"386","In the new Terminator movie, Arnold ends it with saying ""oh, my back."""
"387","Who is excited about New Terminator Movie?"
"388","The makeup in the original terminator movie is fucking awesome. Screw your 3d cgi bullshit."
"389","@MarketFoolery @DavidGFool On movie trailers(spoilers):  Imagine going into terminator 2 not knowing Arnold had flipped sides."
"390","My favorite part of the movie The Notebook is where I turn it off and watch Terminator 2 instead :)"
"391","I liked a @YouTube video http://t.co/VWOyIpGa02 Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"392","I liked a @YouTube video http://t.co/PJbQqcJaTs Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD"
"393","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 21""x14"" #Poster http://t.co/8eT0dWEYTy #Governor #Actor"
"394","@JOEtheMORTON -- OMG, the very first movie I saw U in, was TERMINATOR 2 !! -- Time flies.  Look at U now.  So proud of how far you've come"
"395","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/yxLJZNWhRE #Governor #Actor"
"396","Fury Road is about as feminist a movie as Terminator.

I'd argue it is incredibly hetero-normative / patriarchal.

https://t.co/NOj9dUJOz4"
"397","Allow me to clarify. Mad Max is the best movie I'll see all year including Avenger's, Jurassic Park, Terminator, Star Wars and Paul Blart 2."
"398","Hollywood made Terminator 2 in 1991. I will deactivate my account if Bollywood could make movie like T2 in 2020"
"399","@ProducerKen I find a little scary and disturbing, like the movie The Terminator coming true"
"400","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/IU4RtCia4l #Governor #Actor"
"401","RT @benarmishaw: If Arnold Schwarzenegger can be in the new Terminator movie so can Linda Hamilton."
"402","Age of Ultron: Marvel's Terminator+Robocop movie"
"403","Really hoping this Terminator head is the Wilson of the movie. http://t.co/Dj4EOyPawn"
"404","@TheFatConsoler like the shit cgi rubber faced Arney in terminator salvation? Terrible movie"
"405","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 25""x14"" #Poster http://t.co/ASqKLjVoMb #Governor #Actor"
"406","@Ellociraptor true that. I actually have some hopes for the new terminator movie to be good."
"407","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 25""x14"" #Poster http://t.co/M4LNbkYONK #Governor #Actor"
"408","Tell you what.... The new Terminator movie is gonna be a must see."
"409","@searleyandrew can't see that! Arnie in loads of films atm, he's in new Terminator movie twice!"
"410","TO WRITE PREDATORS PART 3. WELL, THE ANNIHILATOR ENJOYS WORKING ON ORIGINAL FILMS AS WELL AS BIG MOVIE FRANCHISES LIKE RAMBO, TERMINATOR AND"
"411","@kbeastx I do! I really do ! But the more I watch the more it feels like an ordinary Arnold Schwarzenegger action movie and less terminator"
"412","Watch Terminator Genisys Full Movie Streaming Online 2015 720p HD Quality P.u.t. - http://t.co/QIWSI3WZ1W via @DailymotionUSA"
"413","Almost every summer movie preview I see is a sequel or a reboot. Jurassic World, Terminator, Fantastic Four ... Paul Blart. #boring"
"414","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/5jURrXIa3W #Governor #Actor"
"415","Our PR students now know what a movie Unit Publicist does thx to Publicist Sheryl Main who is working on new Terminator film  #sulaPR15"
"416","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 18""x14"" #Poster http://t.co/4F2bUWREXp #Governor #Actor"
"417","Check out 'The Terminator (1984) FULL MOVIE W Commentary' on Vimeo https://t.co/yCuk48Lsm8 #Vimeo #movies #sci-fi"
"418","RT @benarmishaw: If Arnold Schwarzenegger can be in the new Terminator movie so can Linda Hamilton."
"419","ORIGINAL MOVIE #Poster THE COMEBACK #ArnoldSchwarzenegger Mr. Universe #Terminator http://t.co/rMQv3G7kaT #Governor #Actor"
"420","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"421","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/NwOrFuvrhO #Governor #Actor"
"422","Terminator trailer... Way to give away the entire movie"
"423","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 25""x14"" #Poster http://t.co/lySWVryyNW #Governor #Actor"
"424","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 23""x14"" #Poster http://t.co/ImhaXcObMB #Governor #Actor"
"425","The internet ruined Netflix and chill. I love movies, man. I mean, we can bone, but can we finish Terminator 2 first? I love this movie."
"426","@BrandonTozzo dont tell them about the best movie ever, Terminator 2. it too features a strong female lead."
"427","Movies [HD] http://t.co/5a8gVsIuGj Terminator Genisys 2015 http://t.co/Nfaj7iI2LZ"
"428","The first #Terminator movie score was composed in just one session after someone gave an autistic boy a bag of coke and a synthesizer #truth"
"429","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"430","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/dFrXQu3l1l #Governor #Actor"
"431","Fingers crossed the *next* ""Terminator"" movie after ""JAINNNYSYSS"" finally reveals that all humans have always been robots forever."
"432","#Terminator Genisys publicity in #Chennai.. #movie #Arnold #Film https://t.co/0LByFIRyfT"
"433","I liked a @YouTube video from @couch_reviews http://t.co/LE95oGK5Cp 24 Reasons Terminator 2 &amp; Xmen DOFP Are the Same Movie"
"434","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/WZF2wbnXQi"
"435","@ThumbRapid1000 Hey, I'm open to suggestions... You ought to see the Terminator ones I have, holding onto 'em for release of new movie."
"436","TERMINATOR IN DISGUISE. I NOMINATE THE TERMINATOR TEAM FOR HAVING THE ABSOLUTE BEST MOVIE PROMOTIONAL GEAR OF THE YEAR FOR 2015!"
"437","TAKE THE NEW TERMINATOR 5-GENISYS MOVIE STARRING THE STAR OF ARNOLD-THE MOVIE, MEGASTAR ARNOLD SCHWARZENEGGER,."
"438","Terminator would've been a much shorter movie is someone had just used a captcha."
"439","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/e4SYSNe2Ka"
"440","Terminator: Genisys Gets A New Movie Poster http://t.co/CMxrEtw4CN"
"441","Terminator Salvation (2009) Full Movie. watch now! http://t.co/eF0AOjUYOY #WatchMovieOnline"
"442","Halfway through this months @totalfilm Really enjoying it so far.  Although, am I the only who doesn't care about the @Terminator movie?"
"443","New posters for Terminator Genisys,  Manglehorn,  Set Fire to the Stars: New movie posters for ""Terminator Gen... http://t.co/wCeYFshCom"
"444","@lisyluywa looks like a scene of the terminator movie"
"445","NEW POST: James Cameron practically creates the action movie aesthetic with The Terminator http://t.co/ax3sUckyo5 http://t.co/3vIccmWSge"
"446","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNXL1o http://t.co/UGaaLtj4Kc"
"447","International trailers for the new #Terminator movie - @ogy86 have you seen? http://t.co/mcLSy4UB2h #cyborgs"
"448","@HurrDurrDief Are you looking for Sarah/John Conner now like that Terminator does in that movie, can't remember what it is called"
"449","Hm. I just read that Mel Gibson had only 14 lines of dialogue in Mad Max. That's less than Arnie in the first Terminator movie."
"450","Yes I like it! As long as it doesn't become something from a terminator movie. #VeryCool http://t.co/7fTbw454YT"
"451","Terminator: Genisys won't work because it's got a big budget and isn't a 90s movie. Films aren't made the same anymore so it just won't work"
"452","@skyzyn so then that's a no on you seeing the new Terminator movie?"
"453","Mad Max was the best action movie since Terminator 2 absolutely incredible! #MadMax"
"454","""it's real spooky like a real trife movie / remember the part where Terminator killed Tookie"" https://t.co/OddH9DZuJs"
"455","What? Look at how many people are checking out this Terminator 2 Shot Glass 3D Movie Studio Promo Black &amp; Silver.. http://t.co/00ZOva0kNN"
"456","ORIGINAL MOVIE Poster THE COMEBACK ARNOLD SCHWARZENEGGER Mr. Universe terminator http://t.co/AicgEiqWt2 http://t.co/dDHXTSV0XP"
"457","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"458","Mad Max was cool. Imagery&amp; filmography was dope. Wack ending tho. Terminator movie look dope as fuck!!! Antman look childish as shit."
"459","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD
http://t.co/PH3PWfQaMq"
"460","The last time i was this nervous anticipating a movie was @Terminator 2. @Schwarzenegger deserves this kind of respect!"
"461","@DrGhett0Batman That dude wants people to boycott the movie LOL. I wonder if they hate Alien, Aliens, Terminator, Terminator 2 and Kill Bill"
"462","Spot the Signature MazdaVancouver Television cruiser showcasing the new movie Terminator Genisys movie and win... http://t.co/GE7iwkJIy1"
"463","Fury Road--Sin City meets Smuggler's Run meets Shakespeare meets the lame terminator movie (Salvation). Wasn't bad though"
"464","This robot arm is like something out of the Terminator movie!
http://t.co/zLuv4pwVRh"
"465","@Terminator I wont watch any trailers or ads as I want to be totally surprised when the movie comes out.  Anyone else on board with me?"
"466","@OlivingstonTV Next Summer Hit Movie: ""Terminator VS The Deflator"""
"467","As I was watching movie trailers last night, I realized I didn't care much for certain franchises: Terminator, Jurrasic Park and Star Wars."
"468","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"469","@andysmithlol Yeah - I think it's the best action movie since Terminator 2: Judgment Day... pretty damn crazy."
"470","3D trailer for terminator movie is trippy. #MadMaxFuryRoad"
"471","Imagine what it would be like being excited for the new TERMINATOR movie."
"472","RT @LonelyWolfEva: It feels like someone took Terminator fanfic and turned it into a full-length movie."
"473","It feels like someone took Terminator fanfic and turned it into a full-length movie."
"474","My number 1 top movie to wait for to be released.
TERMINATOR GENISYS!! #T5
My action hero star Arnold @Schwarzenegger http://t.co/eRVxNtAqCB"
"475","Terminator 2  Judgment Day 1991  Full Movie
http://t.co/et3tjdc0Ss"
"476","Wow. mystic falls looks like the future in a terminator movie. looks like the vampire/witches are going to be moving in #TVDFinale"
"477","@FrankConniff I think that's the only way to do a new Terminator movie now"
"478","""Line about Terminator being favorite romantic movie had me laughing out loud"" #iartg #books http://t.co/9GeKjY3pUb http://t.co/YjOZvI7FMl"
"479","Spoiler Alert! John Connor finds out that Terminator is actually his biological dad in the new @Terminator movie."
"480","Oh my god there is a new Terminator movie I'm so pumped right now!!!!"
"481","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/GDJvWn2e8f"
"482","Terminator Genisys Movie - Official Trailer 2 
http://t.co/XPhfSNG9CO http://t.co/ad3pZKGg1D"
"483","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD https://t.co/PV50f8nq7S"
"484","Help give #TSCC the closure it deserves! Helps us #BringBackTSCC #TSCC and #Terminator fans! http://t.co/4SjxBzzpuW #SummerGlau"
"485","@NFLTotalAccess @MikeSilver - and ""The Terminator"" was a movie about a janitor at a bus terminal"
"486","@AngelaSterritt Break the law? Rewrite it. Makes me think of the concept ""Retroactive Abortion"". From the ""Terminator Movie""."
"487","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/e4SYSNe2Ka"
"488","#MadMaxFuryRoad is probably the first real feminist action movie since Terminator 2. #Furiosa http://t.co/w8MIrxBvCH"
"489","McFarlane Toys T-800 Terminator 2 - Judgment Day Movie Maniacs Action Figure http://t.co/zcQRFdKneP #ActionFigures #ActionFigure"
"490","'Terminator Genisys' movie trailer No. 2 is today's Trailer of the Day http://t.co/m4G8V77RSj"
"491","When Arnold says ""I'll be back"" in Terminator movie it is implied that he's going to ask Chuck Norris for help."
"492","New Planet of the Apes movie to be titled, ""War of the Planet of the Apes."" 
Hope they follow Terminator's lead &amp; make a CG Charlton Heston."
"493","It seems that in every Terminator movie John connor has facial reconstruction surgery #TerminatorGenisys #Terminator"
"494","@BehindTheKuzuri cold, remorseless killing machine to movie goers = Terminator"
"495","@JanisThomasCCUK ..where the marketing summed up the film perfectly. It also embrashs its B-movie roots (wonder if Terminator will in July)."
"496","The new Terminator movie looks great."
"497","The next terminator movie will be staring Michael  timlin"
"498","Mad Max. Best action movie since Terminator 2. Raw, violent, thrilling, rock'n'roll, like we were hopeless to see since the 80s."
"499","Is this the same liquid metal from that movie Terminator 2? https://t.co/uCGZyuBuNO"
"500","I want a movie where robots rule and not like matrix or terminator. Where they are actually making things better."
"501","""Had me laughing out loud. Line about Terminator as favorite romantic movie had me in tears""http://t.co/9GeKjY3pUb http://t.co/YjOZvI7FMl"
"502","Terminator Genisys 2015 Download Full Movie Online http://t.co/XBOjsSn79Q"
"503","@StatsBritain Terminator movie this summer?"
"504","Terminator Genisys Full Movie
CLICK THE LINK Terminator Genisys Full Movie | 
http://t.co/lObyWOk38a Trailer https://t.co/mZopge73qh"
"505","Terminator 3: Rise of the Machines (2003) Full Movie. watch now! http://t.co/4F9b80Ddh5 #WatchMovieOnline"
"506","@dreamteamfc @Callun_12 This was just before he wrote the theme music to the 1984 movie, The #Terminator."
"507","RT @Enewsi: Terminator Genisys: Five New Character Movie Posters http://t.co/YQEOK9uUJW"
"508","#youtube Terminator Genisys Movie - Official Trailer http://t.co/2Z0JVn5QvU"
"509","RT @ABJBarr: How Big Red whips up stardust with Hollywood movie deals http://t.co/bIUckRVHFG @MyABJ @DrinkBigRed @Terminator"
"510","@missbreebot Video game:  Halo.  Movie:  Terminator 2.  Show:  Arrow or Flash or Burn Notice"
"511","I haven't liked an action movie since Terminator 2, and I find car chases insufferably tedious. Should I see Furious 7?"
"512","[HD] Movie http://t.co/RSigHzA6lu Terminator 3: Rise of the Machines 2003 bro/sis :) http://t.co/y9Za35ClFx"
"513","If Arnold Schwarzenegger can be in the new Terminator movie so can Linda Hamilton."
"514","do a new terminator movie but actually give us the future where the machines are in charge and the humans are fighting back"
"515","Retail BRAND NEW Sealed Terminator 3: Rise of the Machines Blu-ray Disc Movie http://t.co/dLz24iqCHz http://t.co/S3mW85NPJc"
"516","'Terminator Genisys' Poster Has Schwarzenegger on a New Mission: Emilia Clarke's Sarah Co... http://t.co/17vEjzwQcF #Movie #TV #Download"
"517","#movie #news 'Terminator Genisys' Poster Has Schwarzenegger on a New Mission: Emilia Clarke's Sarah Connor sta... http://t.co/GMR4Y35Es6"
"518","#Movie 'Terminator Genisys' Poster Has Schwarzenegger on a New Mission: Emilia Clarke's Sarah Connor stands sa...  http://t.co/2XlW9mzd5E"
"519","#movie 'Terminator Genisys' Poster Has Schwarzenegger on a New Mission: Emilia Clarke's Sarah Connor stands sa...  http://t.co/A16I82aIwt"
"520","#Movie 'Terminator Genisys' Poster Has Schwarzenegger on a New Mission: Emilia Clarke's Sarah Connor stands sa...  http://t.co/xvmv3AY1Kh"
"521","and emilia clarke aka daenerys is on that terminator movie lol and when she called this person her son i was like um dragons"
"522","Wait a minute, Emilia Clarke is in the new terminator movie? fuck , I need to watch the previous ones first!"
"523","Was hoping there's a good reason the new Terminator movie is spelled ""Genisys,"" apparently not http://t.co/TqT0vtC9Lx"
"524","This is going to be better than the movie. Terminator Genisys Trailer -  Paradox Edition https://t.co/wOekjIxqJ1 via @YouTube"
"525","#MadMaxFuryRoad is the smartest, most surprisingly satisfying and unrelenting action movie since the original #Terminator. #MaxIsBack"
"526","Got the terminator genesis trailer again...man that movie looks awful."
"527","@drownyourcat when you  figure out how a new terminator movie can erase the plots of the old ones by creating a time travel loop let me know"
"528","Terminator 2 . They should of just stopped after that movie. I'm having mixed emotions but this new one coming out"
"529","The Terminator Movie Series Review 5 Star worthy - Anime Kida Movies http://t.co/WdyWKZh2hH"
